Time,Distance,Speed,Throttle,Brake,RPM,nGear,X,Y,Z
12.84,763.9411111111112,174.0,48.0,False,9403.0,5,-2262.4542965343708,-2874.1826394698587,871.746699543827
12.953,769.4055128225947,174.0,50.8249984,False,9465.71496448,5,-2274.0,-2814.0,874.0
13.04,773.6077777777779,174.0,53.0,False,9514.0,5,-2289.0982652185858,-2751.3516939641167,876.8429517177782
13.133,778.0882499565922,174.0,55.33333119235414,False,9497.666681653522,5,-2308.0,-2683.0,880.0
13.319,787.092777777778,174.0,60.0,False,9465.0,5,-2343.7548656599934,-2589.2998475686227,883.5472888239372
13.553,798.7379033668459,178.3874976,62.9249984,False,9707.0436176,5,-2388.0,-2515.0,885.0
13.639,803.0927777777779,180.0,64.0,False,9796.0,5,-2405.1255638717116,-2487.0326870338968,885.448852914099
13.852,814.0132190502756,182.6542053391562,62.00934599563285,False,9925.392510283866,5,-2454.0,-2413.0,886.0
13.96,819.4994444444446,184.0,61.0,False,9991.0,5,-2486.345807815929,-2370.291773186385,885.618696771822
14.112,827.0708383786781,180.2,35.24444444444444,False,9790.866666666667,5,-2536.0,-2309.0,885.0
14.32,836.9994444444446,175.0,0.0,True,9517.0,5,-2600.566257788639,-2232.6161080652687,885.6599706558765
14.392,840.2688527761491,170.88571428571427,0.0,True,9563.8,5,-2625.0,-2201.0,886.0
14.6,849.3661111111113,159.0,0.0,True,9699.0,4,-2698.0134959672646,-2095.7134347671004,886.9308360169061
14.612,849.8857620151683,158.8,0.0,True,9678.2,4,-2701.0,-2091.0,887.0
14.84,859.6994444444447,155.0,0.0,False,9283.0,4,-2728.037367319554,-2033.3514847738772,888.8651255997133
14.852,860.2137076996768,154.85,0.0,False,9269.9,4,-2729.0,-2030.0,889.0
15.08,869.832777777778,152.0,0.0,False,9021.0,4,-2747.1498747284563,-1944.394878654244,892.1469056806377
15.152,872.7117203178316,149.0,16.5,False,9078.6,4,-2749.0,-1915.0,893.0
15.32,879.2994444444447,142.0,55.0,False,9213.0,4,-2742.33464244918,-1848.6949639098286,894.4445387532502
15.373,881.4447975252194,143.3249984,55.828124,False,9269.4780568,4,-2738.0,-1828.0,895.0
15.472,885.5527341058128,145.8,57.375,False,9374.975,4,-2727.0,-1788.0,896.0
15.64,892.6327777777781,150.0,60.0,False,9554.0,4,-2689.8225624038187,-1698.2167122079172,892.80137024372
15.8,899.3883333333337,152.0,78.0,False,10123.0,4,-2646.926462612253,-1611.9080971151689,886.9242567927762
15.832,900.7746709758893,153.2,80.2,False,10205.3,4,-2640.0,-1599.0,886.0
16.092,912.6231262840179,162.95,98.075,False,10873.9875,4,-2595.0,-1530.0,880.0
16.12,913.9661111111114,164.0,100.0,False,10946.0,4,-2588.877490035467,-1521.5457449410712,879.0791957601374
16.352,925.5959840711987,176.24444444444444,100.0,False,11301.08888888889,4,-2519.0,-1430.0,869.0
16.48,932.2661111111114,183.0,100.0,False,11497.0,4,-2462.5250304702085,-1364.6171983129884,863.0866262814878
16.64,940.7994444444447,192.0,100.0,False,11971.0,4,-2386.983019155241,-1281.2940281551184,856.2132153185185
16.673,942.6066431772823,193.07249792,100.0,False,11886.76766336,4,-2374.0,-1267.0,855.0
17.04,963.5772222222224,205.0,100.0,False,10950.0,5,-2274.0130025303793,-1155.1385420924964,844.7539755734031
17.092,966.5700243311426,205.975,100.0,False,11062.45,5,-2257.0,-1135.0,843.0
17.172,971.1873222028935,207.475,100.0,False,11235.45,5,-2228.0,-1100.0,840.0
17.2,972.8216666666668,208.0,100.0,False,11296.0,5,-2218.226147552203,-1087.7544000984312,838.9184229994908
17.432,986.7587637601921,215.25,100.0,False,11666.475,5,-2138.0,-976.0,828.0
17.52,992.1994444444447,218.0,100.0,False,11807.0,5,-2095.0301584607964,-912.5688221105663,821.3686328276888
17.652,1000.5004961864685,221.66666666666666,100.0,False,11951.466666666667,5,-2028.0,-813.0,811.0
17.88,1014.9994444444446,228.0,100.0,False,12201.0,5,-1957.0498714216378,-710.5058512756909,801.6533228933763
18.04,1024.9994444444446,225.0,96.0,True,12212.0,5,-1913.2241597725424,-651.5669959317098,796.5239364734222
18.053,1025.7968902531952,224.0250048,88.281288,True,12150.5753024,5,-1909.0,-646.0,796.0
18.2,1034.4661111111113,213.0,1.0,True,11456.0,5,-1854.743153381865,-575.5034831229652,789.0341803246135
18.292,1039.235260844247,197.66666666666666,0.6166666666666667,True,11089.916666666666,5,-1822.0,-534.0,785.0
18.433,1045.6945703533972,174.16667733333333,0.02916693333333331,True,10528.854421333333,5,-1776.0,-478.0,780.0
18.44,1045.9994444444449,173.0,0.0,True,10501.0,5,-1773.147198280625,-474.59897163375024,779.6989151474647
18.633,1053.89405718552,147.91000832,0.0,True,9690.4002688,5,-1680.0,-365.0,770.0
18.64,1054.1661111111116,147.0,0.0,True,9661.0,5,-1677.3188591851808,-361.88462276690194,769.733718389276
18.92,1064.2772222222227,130.0,0.0,True,10011.0,5,-1631.5182539906618,-311.64338632469367,766.051732302553
19.033,1067.8353073378848,122.15278222222223,0.0,True,9526.983607466667,5,-1617.0,-297.0,764.0
19.233,1073.5019184529908,108.26389333333333,0.0,True,8670.3169408,5,-1573.0,-254.0,757.0
19.28,1074.7772222222227,105.0,0.0,True,8469.0,3,-1560.2509198874066,-244.28847214547488,755.5775237544694
19.56,1082.010555555556,93.0,0.0,True,7686.0,2,-1479.1033361025575,-201.51585224130682,750.3959089741653
19.593,1082.8251861178464,92.33834725399944,0.0,True,7630.338462742703,2,-1472.0,-199.0,750.0
19.873,1089.4554131042753,86.72431306677686,0.0,True,7158.057836742602,2,-1430.0,-198.0,747.0
19.959,1091.4313888888894,85.0,0.0,True,7013.0,2,-1412.4925280022871,-201.62859013102675,745.2812545002548
20.133,1095.3695987992064,83.02721204930062,0.0,True,6862.673558156707,2,-1372.0,-213.0,741.0
20.392,1101.059561174114,80.09070296100904,0.0,True,6638.91156562889,2,-1321.0,-244.0,735.0
20.4,1101.2313888888893,80.0,0.0,False,6632.0,2,-1319.2159508462419,-245.55486776731584,734.7674803319943
20.612,1105.70649830272,77.35,13.912499999999998,False,6736.675,2,-1270.0,-297.0,728.0
20.72,1107.9869444444448,76.0,21.0,False,6790.0,2,-1253.8371850883818,-321.2849652475524,725.6458841406277
20.92,1112.3202777777783,78.0,37.0,False,7073.0,2,-1238.9227329870796,-359.4602587696176,723.291781155586
20.952,1113.0449849520749,78.91428571428571,37.68571428571428,False,7160.314285714286,2,-1237.0,-365.0,723.0
21.2,1119.0091666666672,86.0,43.0,False,7837.0,2,-1224.6232729543667,-403.3283401020068,721.273965090623
21.372,1123.4976432067997,90.73,50.31,False,8351.28,2,-1216.0,-436.0,719.0
21.6,1129.786944444445,97.0,60.0,False,9033.0,2,-1202.1000290109441,-494.76482954993816,713.6498700002585
21.632,1130.6889119402122,98.28,61.92,False,9171.08,2,-1200.0,-503.0,713.0
21.792,1135.3698770541503,104.68,71.52,False,9861.48,2,-1188.0,-546.0,710.0
21.8,1135.6202777777783,105.0,72.0,False,9896.0,2,-1187.2087701765315,-548.7327914677761,709.7834788313779
22.012,1142.917738142029,118.25,86.84,False,10907.77,2,-1161.0,-637.0,702.0
22.2,1150.0647222222226,130.0,100.0,False,11805.0,2,-1141.8637826351576,-695.1946553184383,697.2463590801467
22.36,1156.3758333333337,142.0,100.0,False,11784.0,2,-1126.4841392940377,-734.4216629954442,694.3748181787042
22.453,1160.1124858402065,144.906248,100.0,False,11293.4253376,2,-1114.0,-764.0,692.0
22.52,1162.909166666667,147.0,100.0,False,10940.0,2,-1103.3225538602283,-788.5911511747204,689.9466148382215
22.612,1166.9720789105015,151.6,100.0,False,11045.033333333333,2,-1087.0,-825.0,687.0
22.76,1173.5091666666672,159.0,100.0,True,11214.0,3,-1058.8261788907007,-883.8101938217435,682.9718655634678
22.832,1176.3511884707,151.28571428571428,74.28571428571428,True,10868.657142857142,3,-1045.0,-910.0,681.0
23.04,1183.5425000000005,129.0,0.0,True,9871.0,3,-1008.5827265990265,-969.522854433113,675.2206505471762
